system	feature	relative_time_ms	estimate	SE	z	p_value	CI95_low	CI95_high	SESOI_lower	SESOI_upper	TOST_p_lower	TOST_p_upper	TOST_p	TOST_equivalent_alpha_0_05	p_Bonferroni_within_trajectory	p_BH_global	TOST_p_Bonferroni_within_trajectory	TOST_p_BH_global	predefined_followup_significant	SESOI_equivalent	followup_classification
A04	flatness	20	0.0460063537139396	0.0155082334440687	2.96657603716529	0.00301135888787024	0.0156107746997253	0.0764019327281539	-0.1	0.1	0	0.000249202972687422	0.000249202972687422	TRUE	0.0271022299908322	0.00684987214837437	0.0022428267541868	0.000408908902552117	TRUE	TRUE	SIGNIFICANT
A04	flux	-15	-0.0480194095132722	0.0152773295216603	-3.14318084487147	0.00167122553184428	-0.077962425155677	-0.0180763938708674	-0.1	0.1	0.000333903621836718	1.68184040902245e-22	0.000333903621836718	TRUE	0.0133698042547542	0.004030973565267	0.00267122897469374	0.000539539388943477	TRUE	TRUE	SIGNIFICANT
A04	flux	-10	-0.0647773991266937	0.0110207671657521	-5.87775770528882	4.15861004163585e-09	-0.0863777058535695	-0.0431770923998179	-0.1	0.1	0.000696685381450735	7.60986615095696e-51	0.000696685381450735	TRUE	3.32688803330868e-08	2.05987226361402e-08	0.00557348305160588	0.00108921313324156	TRUE	TRUE	SIGNIFICANT
A04	flux	-5	-0.0814945203541044	0.0119200176164537	-6.83677851630138	8.09938122531583e-12	-0.104857325577437	-0.0581317151307722	-0.1	0.1	0.0602748035144656	1.18797458062805e-52	0.0602748035144656	FALSE	6.47950498025266e-11	5.11032386835404e-11	0.482198428115725	0.0762425915576773	TRUE	FALSE	SIGNIFICANT
A04	flux	0	-0.0919963598644677	0.0115212618185806	-7.98492051591979	1.40612879333725e-15	-0.114577618085342	-0.0694151016435933	-0.1	0.1	0.243626572785666	1.18682661639883e-62	0.243626572785666	FALSE	1.1249030346698e-14	1.16445040698241e-14	1	0.287577023555463	TRUE	FALSE	SIGNIFICANT
A04	flux	5	-0.0791345574518851	0.0115212618185807	-6.86856688945842	6.48500648883891e-12	-0.10171581567276	-0.0565532992310104	-0.1	0.1	0.0350674876016062	8.18564162323825e-55	0.0350674876016062	TRUE	5.18800519107113e-11	4.14102823986099e-11	0.28053990081285	0.0452208477587622	TRUE	FALSE	SIGNIFICANT
A04	flux	10	-0.0459732368906676	0.0119200176164536	-3.85680947544986	0.00011487663097926	-0.0693360421139996	-0.0226104316673355	-0.1	0.1	2.91531380225418e-06	8.81801438356614e-35	2.91531380225418e-06	TRUE	0.00091901304783408	0.000330894643581564	2.33225104180334e-05	5.74392682228519e-06	TRUE	TRUE	SIGNIFICANT
A04	flux	15	-0.0149272211238115	0.011020767165753	-1.35446297878407	0.175588716817357	-0.0365275278506888	0.00667308560306588	-0.1	0.1	5.88418203051333e-15	9.21334569580444e-26	5.88418203051333e-15	TRUE	1	0.256369200862808	4.70734562441066e-14	3.54388235928644e-14	FALSE	TRUE	NOT_SIGNIFICANT
A04	flux	20	0.0100633334364155	0.0152773295216612	0.658710242660344	0.510081854378994	-0.019879682205991	0.0400063490788219	-0.1	0.1	2.91544566266566e-13	1.96710064046998e-09	1.96710064046998e-09	TRUE	1	0.604795039867711	1.57368051237598e-08	5.29219969263497e-09	FALSE	TRUE	NOT_SIGNIFICANT
A04	tilt	-20	-0.00826592229490182	0.0136885298414105	-0.603857564739769	0.545938343804378	-0.0350949477853682	0.0185631031955646	-0.1	0.1	1.03125286088357e-11	1.29478328253415e-15	1.03125286088357e-11	TRUE	1	0.633145125199826	9.28127574795213e-11	3.74358915252255e-11	FALSE	TRUE	NOT_SIGNIFICANT
