system	feature	region	relative_time_ms	estimate_tts_minus_bf	SE	CI95_low	CI95_high	wald_z	p_raw	p_bonferroni_within_trajectory	p_BH_global
A11	tilt	Boundary	-20	-0.0724341265682731	0.0148701689675002	-0.101579122188599	-0.0432891309479476	-4.87110312778444	1.10976892844631e-06	9.98792035601682e-06	2.13882738936926e-06
A11	tilt	Boundary	-15	-0.0998103551894847	0.0122055114852349	-0.123732718113435	-0.0758879922655343	-8.17748238656168	2.89835782586286e-16	2.60852204327657e-15	8.00067524847559e-16
A11	tilt	Boundary	-10	-0.105698989867665	0.0131656403720274	-0.131503170830246	-0.0798948089050852	-8.02839716723848	9.87543365013662e-16	8.88789028512295e-15	2.69330008640089e-15
A11	tilt	Boundary	-5	-0.0783050174296013	0.0121215801661065	-0.102062877990885	-0.0545471568683175	-6.45996778939368	1.04725269792464e-10	9.42527428132179e-10	2.40974209797422e-10
A11	tilt	Boundary	0	-0.0446037477813457	0.0132564418592454	-0.0705858963886158	-0.0186215991740756	-3.36468475137904	0.000766311607583354	0.00689680446825019	0.00122950096474019
A11	tilt	Boundary	5	-0.0329291329902192	0.0121215801661061	-0.0566869935515021	-0.00917127242893622	-2.71657098653643	0.00659620482096176	0.0593658433886558	0.00949996889975471
A11	tilt	Boundary	10	-0.0382793706893442	0.0131656403720269	-0.0640835516519233	-0.012475189726765	-2.90752060725254	0.00364306340476405	0.0327875706428765	0.00537833873126726
A11	tilt	Boundary	15	-0.0492339174396293	0.0122055114852353	-0.0731562803635805	-0.0253115545156781	-4.03374471436009	5.48949551408131e-05	0.000494054596267318	9.56001956997731e-05
A11	tilt	Boundary	20	-0.0620330199473266	0.0148701689675016	-0.0911780155676548	-0.0328880243269983	-4.17164190150753	3.02412635802209e-05	0.000272171372221988	5.36049153763112e-05
A11	tilt	Interior_A	-20	-0.0715389738463764	0.0148701689675011	-0.100683969466704	-0.042393978226049	-4.81090524275315	1.50248240487872e-06	1.35223416439085e-05	2.86101439970919e-06
A11	tilt	Interior_A	-15	-0.0757123031385766	0.0122055114852349	-0.099634666062527	-0.0517899402146262	-6.20312415667023	5.53531353376895e-10	4.98178218039205e-09	1.23092986275421e-09
A11	tilt	Interior_A	-10	-0.079769673536136	0.0131656403720267	-0.105573854498715	-0.0539654925735571	-6.05892848976978	1.37031291456216e-09	1.23328162310594e-08	2.99697047338904e-09
A11	tilt	Interior_A	-5	-0.0833454079680369	0.0121215801661063	-0.10710326852932	-0.0595875474067535	-6.87578738299176	6.16483902246896e-12	5.54835512022207e-11	1.47621898279001e-11
A11	tilt	Interior_A	0	-0.0850749566577527	0.0132564418592455	-0.111057105265023	-0.0590928080504822	-6.41763133434016	1.38410940039909e-10	1.24569846035918e-09	3.16197406125654e-10
A11	tilt	Interior_A	5	-0.0841353908468527	0.0121215801661062	-0.107893251408136	-0.0603775302855695	-6.94095899164271	3.89447062364976e-12	3.50502356128478e-11	9.38213377515624e-12
A11	tilt	Interior_A	10	-0.0828691385547993	0.0131656403720267	-0.108673319517378	-0.0570649575922205	-6.29434924645771	3.08692111930459e-10	2.77822900737413e-09	6.9227144988636e-10
A11	tilt	Interior_A	15	-0.0836537490654733	0.012205511485235	-0.107576111989424	-0.0597313861415227	-6.85376841164495	7.1929495824296e-12	6.47365462418664e-11	1.71466114483704e-11
A11	tilt	Interior_A	20	-0.0858418999425384	0.0148701689675014	-0.114986895562866	-0.0566969043222105	-5.77275887921282	7.79839985566812e-09	7.0185598701013e-08	1.66212543840647e-08
A11	tilt	Interior_B	-20	-0.0554447242469563	0.0148701689675011	-0.0845897198672837	-0.026299728626629	-3.72858737302389	0.000192556147109325	0.00173300532398393	0.000321601128050239
A11	tilt	Interior_B	-15	-0.0599445751978166	0.0122055114852349	-0.083866938121767	-0.0360222122738663	-4.91127104917578	9.04879011629731e-07	8.14391110466758e-06	1.75244534529997e-06
A11	tilt	Interior_B	-10	-0.0636007366444249	0.0131656403720267	-0.0894049176070038	-0.037796555681846	-4.83081223907335	1.35977189764953e-06	1.22379470788457e-05	2.59860254478696e-06
A11	tilt	Interior_B	-5	-0.0660833144174124	0.0121215801661063	-0.0898411749786958	-0.042325453856129	-5.45170790539264	4.98883513866442e-08	4.48995162479798e-07	1.03284477480162e-07
A11	tilt	Interior_B	0	-0.0691175956869431	0.0132564418592455	-0.0950997442942135	-0.0431354470796727	-5.21388743833534	1.84923704403136e-07	1.66431333962823e-06	3.70780189156352e-07
A11	tilt	Interior_B	5	-0.0739330264565931	0.0121215801661062	-0.0976908870178763	-0.0501751658953099	-6.09928948564984	1.06540969301807e-09	9.5886872371626e-09	2.33655367158445e-09
A11	tilt	Interior_B	10	-0.0777205067240551	0.0131656403720267	-0.103524687686634	-0.0519163257614763	-5.90328343535721	3.56337294215773e-09	3.20703564794195e-08	7.68760241252481e-09
